Component 00000000038764,00004-00005-00011-38764,00004-00002-00005-96959,97255683-038764,1806577613-038764,1368415896-0038764,1394990702-038764,1438315640-00038764,540329737-038764,953746581-0000038764
Component 00000000044343,00003-00005-44343,00002-00005-6050,214663081-044343,501302652-044343,787942223-0044343,158038569-044343,872324361-00044343,1088460607-044343,241382571-0000044343
Component 00000000020392,00002-00001-00008-20392,00001-00004-00009-76696,1101255750-020392,1155683282-020392,1210110814-0020392,1593507405-020392,1321369745-00020392,1566293639-020392,1504212510-0000020392
Component 00000000018926,00001-00005-00011-18926,00002-00005-00005-35677,923176307-018926,586215377-018926,249254447-0018926,1760440378-018926,1297761381-00018926,1928920843-018926,1988486955-0000018926
Component 00000000070171,00001-00003-00010-70171,00002-00005-112957,1335640494-070171,237068652-070171,1285980457-0070171,1741997332-070171,792405601-00070171,143799606-070171,897237473-0000070171
Component 00000000039273,00003-00003-39273,00003-00006-00010-111173,2065596725-039273,2060437313-039273,2055277901-0039273,1815365243-039273,1841162303-00039273,1817944949-039273,2119003072-0000039273
Component 00000000091227,00002-00003-00006-91227,00004-00005-00007-83389,462908836-091227,1242018579-091227,2021128322-0091227,668767549-091227,1068186128-00091227,1352954501-091227,1039864335-0000091227
Component 00000000109263,00003-00011-109263,00001-00006-00002-94226,1893629144-109263,1824737604-109263,1755846064-0109263,699873101-109263,1044330801-00109263,734318871-109263,1768867016-0000109263
Component 00000000045839,00004-00003-00001-45839,00003-00003-00005-47988,2000780372-045839,1114903885-045839,229027398-0045839,911701869-045839,1046117010-00045839,280898289-045839,1227238966-0000045839
Component 00000000052744,00004-00006-00003-52744,00008-117775,1598910556-052744,1882325169-052744,18256135-0052744,1385875581-052744,2116286163-00052744,170426451-052744,1589053876-0000052744
Component 00000000107150,00001-00004-107150,00004-00003-00007-35094,2103069122-107150,430949665-107150,906313855-0107150,1535912220-107150,1306574917-00107150,1298230125-107150,951543076-0000107150
Component 00000000118952,00002-00001-00002-118952,00005-00011-118480,1859612758-118952,514963632-118952,1317798153-0118952,1068639557-118952,1349434246-00118952,1740964120-118952,430020599-0000118952
Component 00000000037949,00004-00002-00002-37949,00003-00004-00005-52343,175817905-037949,2047529537-037949,1771757522-0037949,759518883-037949,2138378958-00037949,1971146714-037949,1560790226-0000037949
Component 00000000047169,00004-00003-00005-47169,00001-00006-00003-85231,301101912-047169,893969731-047169,1486837550-0047169,64161899-047169,1394790098-00047169,841469813-047169,445891329-0000047169
Component 00000000108477,00002-00005-00005-108477,00003-00001-00011-72213,306895650-108477,1135668574-108477,1964441498-0108477,1847676818-108477,1998779492-00108477,1433290356-108477,387831624-0000108477
Component 00000000101968,00003-00006-00009-101968,00001-00003-00008-13541,1994320919-101968,1994159330-101968,1993997741-0101968,912742029-101968,913549974-00101968,1986564647-101968,228164616-0000101968
