Component 00000000092151,00001-00003-00007-92151,00005-109270,515055907-092151,1245366982-092151,1975678057-0092151,501662869-092151,1145074788-00092151,1210249155-092151,1685218635-0000092151
Component 00000000044680,00006-00012-44680,00002-00002-00011-15507,2073937081-044680,622047587-044680,1317641740-0044680,376773326-044680,1193769855-00044680,1102718073-044680,1157049929-0000044680
Component 00000000106646,00001-00001-00007-106646,00002-00003-20972,1597728939-106646,162618152-106646,874991012-0106646,1788074297-106646,373693644-00106646,1431887867-106646,1414496162-0000106646
Component 00000000046335,00002-00003-46335,00001-00012-61866,208896747-046335,576132666-046335,943368585-0046335,1913711466-046335,77531871-00046335,656351683-046335,857117136-0000046335
Component 00000000051385,00005-00009-51385,00004-00004-00005-79734,69430749-051385,1185967458-051385,155020520-0051385,1608111784-051385,320395533-00051385,2123585253-051385,543047318-0000051385
Component 00000000041157,00002-00004-00012-41157,00001-00004-00006-40436,963339877-041157,2027466247-041157,944108970-0041157,1033861294-041157,8196738-00041157,501798109-041157,2134079022-0000041157
Component 00000000084090,00006-00006-84090,00001-00002-7126,382857438-084090,995623631-084090,1608389824-0084090,1110988564-084090,194641246-00084090,1878347291-084090,354295205-0000084090
Component 00000000094863,00003-00006-00002-94863,00001-00004-00009-61681,1056715698-094863,1863474752-094863,522750159-0094863,1529824171-094863,1790996195-00094863,1126444644-094863,1890747986-0000094863
Component 00000000039098,00003-00003-00007-39098,00002-00006-00008-106322,1536368471-039098,1440709707-039098,1345050943-0039098,1191885711-039098,1670179531-00039098,1239715093-039098,1926179287-0000039098
Component 00000000082436,00001-00004-00003-82436,00001-00005-00010-84341,300136589-082436,1369757107-082436,291893978-0082436,637124184-082436,1731472535-00082436,102313925-082436,1240384753-0000082436
Component 00000000082564,00004-00006-00001-82564,00002-00003-00009-87902,1332830114-082564,1032379020-082564,731927926-0082564,1793337584-082564,1148109407-00082564,1943563131-082564,1962567748-0000082564
Component 00000000077518,00003-00012-77518,00001-00004-00012-70186,1253783010-077518,1911511848-077518,421757039-0077518,941376948-077518,1947700052-00077518,612512529-077518,882024152-0000077518
Component 00000000016350,00005-00009-16350,00002-00001-00002-87102,227374038-016350,389477115-016350,551580192-0016350,573180508-016350,1910148770-00016350,1565870793-016350,344839832-0000016350
Component 00000000065002,00002-00002-65002,00003-00004-00012-90388,1468401377-065002,1552107074-065002,1635812771-0065002,159418564-065002,1888373726-00065002,1191307539-065002,1886433217-0000065002
Component 00000000086029,00004-00006-00008-86029,00001-00002-00007-61406,8329387-086029,1887689397-086029,1619565760-0086029,962976698-086029,156111236-00086029,23296693-086029,2127047487-0000086029
Component 00000000013918,00003-00002-00008-13918,00001-00006-00009-18976,115168679-013918,1301063341-013918,339474356-0013918,1796484964-013918,161978948-00013918,1203537633-013918,1686444049-0000013918
Component 00000000086952,00002-00005-00008-86952,00005-00008-87225,911096494-086952,88878379-086952,1414143911-0086952,761965386-086952,578088667-00086952,99332620-086952,2125869946-0000086952
Component 00000000019591,00001-00005-19591,00003-00005-00008-54283,203946129-019591,2005320925-019591,1659212074-0019591,1671277855-019591,1254338463-00019591,770590457-019591,229804978-0000019591
Component 00000000026986,00001-00001-00011-26986,00004-00006-00005-14279,687280550-026986,855909177-026986,1024537804-0026986,1349576195-026986,506433060-00026986,191520058-026986,1366494005-0000026986
Component 00000000036137,00002-00003-00010-36137,00002-00003-00010-23397,695491997-036137,1384006919-036137,2072521841-0036137,1876211009-036137,581120046-00036137,1531953548-036137,1593573643-0000036137
Component 00000000028059,00004-00003-00005-28059,00001-00005-00006-44336,316955625-028059,643461969-028059,969968313-0028059,1120127780-028059,1635079707-00028059,956874608-028059,300240857-0000028059
Component 00000000069658,00003-00001-00004-69658,00005-00008-97235,1781009201-069658,1631177765-069658,1481346329-0069658,956635496-069658,1705792676-00069658,1031551214-069658,1679893725-0000069658
Component 00000000020724,00004-00004-00002-20724,00003-00005-00007-86028,991838902-020724,1830669860-020724,522017171-0020724,872951072-020724,973763576-00020724,453535593-020724,84614224-0000020724
Component 00000000077664,00004-00006-00002-77664,00004-00006-74269,594647653-077664,1914372296-077664,1086613292-0077664,1250525252-077664,1094352978-00077664,1664404754-077664,588584384-0000077664
Component 00000000021408,00003-00002-00010-21408,00002-00003-105157,2118327879-021408,1250019358-021408,381710837-0021408,1881295727-021408,1927871038-00021408,1241708164-021408,1042977166-0000021408
Component 00000000046182,00002-00003-00006-46182,00003-00004-57568,1890652768-046182,1392112408-046182,893572048-0046182,1333765425-046182,1678983578-00046182,1583035605-046182,2143352981-0000046182
Component 00000000103262,00002-00005-00003-103262,00004-00004-00001-49739,1444656984-103262,589505108-103262,1881836879-0103262,771980291-103262,752772377-00103262,1199556229-103262,1384243152-0000103262
Component 00000000042617,00002-00001-00003-42617,00001-00007-58780,630436595-042617,1135816758-042617,1641196921-0042617,445312560-042617,65895392-00042617,1266364302-042617,977696026-0000042617
