Component 00000000083064,00004-00002-00007-83064,00001-00002-00007-101901,1600831610-083064,451981592-083064,1450615221-0083064,1716180559-083064,1017979708-00083064,143121921-083064,976712288-0000083064
Component 00000000113028,00003-00006-00006-113028,00002-00006-00006-76082,1548345263-113028,579492956-113028,1758124296-0113028,729906784-113028,1279201025-00113028,140591114-113028,1804324923-0000113028
Component 00000000011354,00004-00005-11354,00003-00003-00005-70738,485353701-011354,405154208-011354,324954715-0011354,1964387408-011354,217901226-00011354,930745331-011354,222327611-0000011354
Component 00000000013252,00002-00001-00005-13252,00006-00006-370,1203459895-013252,651614733-013252,99769571-0013252,208773302-013252,820515465-00013252,484695883-013252,430583767-0000013252
Component 00000000059270,00001-00003-59270,00003-00006-00006-53423,720233760-059270,1593445396-059270,319173385-0059270,121325166-059270,50234280-00059270,1832202995-059270,2033443776-0000059270
Component 00000000082765,00004-00007-82765,00001-00003-00003-93551,1856993050-082765,1213127834-082765,569262618-0082765,694301132-082765,1766143565-00082765,1016233740-082765,1458624734-0000082765
Component 00000000110261,00001-00004-00008-110261,00004-00003-122164,2054260817-110261,969880507-110261,2032983844-0110261,1001423310-110261,2128357566-00110261,1543613465-110261,1330970359-0000110261
Component 00000000077969,00004-00003-00008-77969,00002-00006-00001-82837,524962443-077969,600908952-077969,676855461-0077969,987142659-077969,607410114-00077969,2022911228-077969,905745900-0000077969
Component 00000000011784,00004-00003-00006-11784,00002-00008-82805,1631005623-011784,916991040-011784,202976457-0011784,287294876-011784,1709884144-00011784,1718043991-011784,2082050744-0000011784
Component 00000000118450,00003-00007-118450,00003-00006-00002-39808,1238129287-118450,597544296-118450,2104442952-0118450,1308270105-118450,216227766-00118450,554820777-118450,592444305-0000118450
Component 00000000121994,00004-00005-00002-121994,00002-00006-00005-80072,717801430-121994,295702592-121994,2021087401-0121994,1720844257-121994,1683854800-00121994,1931893676-121994,190925053-0000121994
Component 00000000015919,00004-00001-00007-15919,00001-00003-75036,1653024567-015919,1352593851-015919,1052163135-0015919,2114520370-015919,1469190303-00015919,117252081-015919,1369481167-0000015919
Component 00000000045645,00005-00002-45645,00002-00006-42555,1626497156-045645,172537129-045645,866060749-0045645,902654374-045645,1730003568-00045645,555892564-045645,1515732234-0000045645
Component 00000000069920,00004-00006-69920,00001-00001-00004-104511,715139565-069920,262797948-069920,1957939978-0069920,1325149434-069920,1439373872-00069920,477578419-069920,2034102872-0000069920
Component 00000000059856,00001-00006-00004-59856,00003-00008-69818,2930505-059856,658561745-059856,1314192985-0059856,1736274587-059856,605602034-00059856,1408458967-059856,1014388531-0000059856
Component 00000000050725,00003-00012-50725,00002-00005-61222,1195232586-050725,309704219-050725,1571659499-0050725,123037903-050725,255712444-00050725,1639543910-050725,165365004-0000050725
Component 00000000104938,00003-00001-00002-104938,1436259974,1907791607-104938,1633767807-104938,1359744007-0104938,1502539189-104938,725174542-00104938,1639551089-104938,887492177-0000104938
Component 00000000018627,00002-00011-18627,00002-00006-00001-27327,115587410-018627,942447571-018627,1769307732-0018627,489857749-018627,650524238-00018627,1150169492-018627,1188501694-0000018627
Component 00000000103802,00002-00006-00010-103802,00004-00005-00004-64874,1818336372-103802,1499739330-103802,1181142288-0103802,1398765364-103802,844266927-00103802,1558063885-103802,679957630-0000103802
Component 00000000093887,00002-00003-00001-93887,00002-00006-00007-34327,159456830-093887,1657137949-093887,1007335421-0093887,856288927-093887,1957817920-00093887,1181190191-093887,501274219-0000093887
Component 00000000023591,00001-00001-00009-23591,00004-00004-00008-42739,1725595484-023591,696839791-023591,1815567745-0023591,149326431-023591,998137602-00023591,1737446101-023591,2054432825-0000023591
Component 00000000013525,00001-00005-13525,00005-00003-7985,1821142434-013525,999882416-013525,178622398-0013525,644737207-013525,456070003-00013525,1055367216-013525,946273490-0000013525
Component 00000000096508,00003-00006-00009-96508,00008-107765,1205745701-096508,1722854650-096508,92479952-0096508,1589467787-096508,1151406689-00096508,257171489-096508,1138253671-0000096508
Component 00000000102772,00002-00005-00007-102772,00001-00003-00010-36046,822335405-102772,2056129380-102772,1142439708-0102772,1605542900-102772,1879023966-00102772,2062387736-102772,118220801-0000102772
Component 00000000038382,00002-00001-00006-38382,00004-00004-00002-86244,1583418988-038382,315279233-038382,1194623125-0038382,1281924810-038382,1180172644-00038382,842252864-038382,879027683-0000038382
Component 00000000116699,00004-00002-00011-116699,00004-00006-37394,1791014689-116699,1593923597-116699,1396832505-0116699,822031315-116699,1807486775-00116699,920576861-116699,428750217-0000116699
Component 00000000034278,00003-00006-00010-34278,00002-00005-00006-94932,1770587816-034278,128663330-034278,634222491-0034278,1594145184-034278,1213833026-00034278,267623780-034278,1927716033-0000034278
Component 00000000099463,00003-99463,00001-00002-00003-66901,86499718-099463,66559312-099463,46618906-0099463,1266873674-099463,1366575704-00099463,1276843877-099463,67144068-0000099463
Component 00000000080411,00001-00002-00006-80411,00004-00005-00009-27634,59376738-080411,896924474-080411,1734472210-0080411,2025736288-080411,2132964902-00080411,1606962420-080411,1885369018-0000080411
