Component 00000000113248,00003-00002-00005-113248,00002-00002-00001-82252,1508863102-113248,396945365-113248,1432511275-0113248,194202209-113248,1458823600-00113248,1823902901-113248,1571994469-0000113248
Component 00000000069977,00002-00005-00011-69977,,982830199-069977,867030313-069977,751230427-0069977,1808986669-069977,240502452-00069977,1866886612-069977,93799025-0000069977
Component 00000000025556,00001-00006-00011-25556,00002-00004-00001-97787,1090091224-025556,1337091564-025556,1584091904-0025556,184705832-025556,1097187779-00025556,61205662-025556,1767355841-0000025556
Component 00000000045809,00004-00001-00010-45809,00001-00009-47160,99892247-045809,858125317-045809,1616358387-0045809,366974143-045809,870776087-00045809,2135341255-045809,503135887-0000045809
Component 00000000121534,00004-00010-121534,00004-00004-00003-67239,66800883-121534,1757323515-121534,1300362500-0121534,452769949-121534,590091377-00121534,1754992280-121534,1514524273-0000121534
Component 00000000047174,00004-00001-00010-47174,00002-00005-00012-74632,830022236-047174,2097847534-047174,1218189185-0047174,42523426-047174,145847877-00047174,1556094424-047174,937754331-0000047174
Component 00000000054740,00010-54740,00002-00003-00009-50137,1242728100-054740,201979403-054740,1308714353-0054740,1232282000-054740,2141058191-00054740,678914525-054740,1489810759-0000054740
Component 00000000093587,00002-00004-93587,00001-00006-00002-25976,1992008279-093587,1817956111-093587,1643903943-0093587,2140412719-093587,863189912-00093587,79955156-093587,1481772140-0000093587
Component 00000000073245,00004-00003-73245,00004-00011-74085,1544189794-073245,2093493578-073245,495313715-0073245,268135907-073245,1816584281-00073245,2140967662-073245,1976288111-0000073245
Component 00000000011791,00001-00003-11791,00003-00002-16263,425519623-011791,1050913869-011791,1676308115-0011791,692369496-011791,1860365560-00011791,379672373-011791,118156673-0000011791
Component 00000000020634,00004-00005-00003-20634,00004-00004-00002-28459,1513480274-020634,566018448-020634,1766040269-0020634,658738300-020634,1101080136-00020634,1132469213-020634,1167970863-0000020634
Component 00000000078049,00004-00006-00010-78049,00001-00003-85046,2087368214-078049,562112004-078049,1184339441-0078049,1126886027-078049,163232489-00078049,1889514132-078049,22155851-0000078049
Component 00000000089846,00001-00001-00003-89846,00005-00002-44735,1506168007-089846,843858298-089846,181548589-0089846,522660002-089846,1686724900-00089846,1927556680-089846,1499718518-0000089846
Component 00000000014675,00003-00011-14675,00001-00004-00008-40191,56479349-014675,450782934-014675,845086519-0014675,926592222-014675,1102557944-00014675,1803182253-014675,1907243227-0000014675
Component 00000000052028,00003-00004-00002-52028,00001-00006-00005-97726,669398651-052028,852958034-052028,1036517417-0052028,2055835962-052028,1138039047-00052028,890314447-052028,486555147-0000052028
Component 00000000006721,00001-00001-6721,00003-00002-00001-64598,1618975775-006721,1427465739-006721,1235955703-0006721,920673617-006721,1878223797-00006721,1016428635-006721,112401945-0000006721
Component 00000000107089,00004-00003-00008-107089,00004-00012-24140,1875246155-107089,35471315-107089,343180122-0107089,692995942-107089,1301935554-00107089,1612883362-107089,227994305-0000107089
Component 00000000083231,00001-00001-00005-83231,00004-00005-00003-106629,1583499179-083231,1846770842-083231,2110042505-0083231,393531129-083231,1224656461-00083231,1335637121-083231,680438236-0000083231
Component 00000000011252,00002-00003-00007-11252,00003-00004-00010-67883,837279808-011252,1200045210-011252,1562810612-0011252,1251532629-011252,1585189266-00011252,1070149928-011252,1183661732-0000011252
Component 00000000088974,00004-00004-00002-88974,00002-00006-00008-20327,1732799015-088974,859467288-088974,2133619208-0088974,1252141372-088974,1323832713-00088974,615065412-088974,1616128265-0000088974
Component 00000000016033,00003-00003-00004-16033,00003-00005-78200,735784044-016033,238356000-016033,1888411603-0016033,232844027-016033,572500600-00016033,481558049-016033,553957812-0000016033
Component 00000000014099,00004-00001-00007-14099,00003-00010-24073,981317566-014099,278676987-014099,1723520055-0014099,189246013-014099,1554965261-00014099,1614308126-014099,1206198914-0000014099
Component 00000000071341,00001-00004-00010-71341,00001-00003-00012-20786,1525217410-071341,1307936722-071341,1090656034-0071341,1724522277-071341,663442070-00071341,1833162621-071341,1415503339-0000071341
Component 00000000100787,00002-00001-00011-100787,00007-104020,643876121-100787,1651346351-100787,511332934-0100787,114058395-100787,1519158186-00100787,1757806927-100787,1333840750-0000100787
Component 00000000048614,00004-00006-00007-48614,00001-00005-2150,38173454-048614,1524039354-048614,862421607-0048614,1235709253-048614,248830694-00048614,492776303-048614,1514103335-0000048614
Component 00000000103019,00004-00007-103019,00002-00005-00009-42922,1776773710-103019,1329007074-103019,881240438-0103019,1534928334-103019,1626277867-00103019,1758811652-103019,1645654313-0000103019
Component 00000000015933,00003-00001-00008-15933,00001-00004-00010-75436,1927695311-015933,2067082985-015933,58987012-0015933,98062912-015933,1548608189-00015933,28369075-015933,2137898207-0000015933
Component 00000000049123,00003-00004-00009-49123,00002-00005-00008-16427,1192428293-049123,966988568-049123,741548843-0049123,2069761689-049123,1049476667-00049123,1108739728-049123,1523020302-0000049123
Component 00000000076730,00003-00004-76730,00002-00001-00012-48112,1856034313-076730,1504089908-076730,1152145503-0076730,892858023-076730,505096401-00076730,2142572049-076730,1105034813-0000076730
Component 00000000104919,00004-00003-00009-104919,00004-00005-00007-96129,120519804-104919,1216728317-104919,165453183-0104919,673283333-104919,1634691709-00104919,1198920900-104919,1777740897-0000104919
Component 00000000049976,00001-00003-00004-49976,00002-00002-00004-40252,1749859428-049976,1064147750-049976,378436072-0049976,705097750-049976,1986172493-00049976,1047953589-049976,1945589783-0000049976
Component 00000000001212,00002-00001-00003-1212,00001-00001-33866,1792766203-001212,1000481174-001212,208196145-0001212,947906119-001212,614363970-00001212,270306810-001212,1984749796-0000001212
Component 00000000101586,00001-00002-00004-101586,00002-00001-00010-2857,443277625-101586,1339398382-101586,88035492-0101586,2029203223-101586,1843566732-00101586,507401021-101586,1051444986-0000101586
Component 00000000033758,00003-00004-00010-33758,00003-00004-80318,1075457794-033758,1773807435-033758,324673429-0033758,1659418854-033758,315154296-00033758,236502210-033758,927978949-0000033758
Component 00000000020681,00001-00003-00011-20681,00001-00005-00006-84831,774022492-020681,188229265-020681,1749919685-0020681,1354080217-020681,2135562705-00020681,573235007-020681,884278349-0000020681
Component 00000000084916,00001-00006-84916,00004-00004-00006-30244,1160130696-084916,1580867885-084916,2001605074-0084916,1164789716-084916,1208587418-00084916,2028162945-084916,1686118935-0000084916
Component 00000000001542,00002-00002-00008-1542,00002-00006-00008-43077,473035896-001542,1093436244-001542,1713836592-0001542,497681716-001542,1690647270-00001542,187481542-001542,1181881700-0000001542
Component 00000000013621,00001-00006-00010-13621,00002-00005-00001-10687,1774746373-013621,780188125-013621,1933113524-0013621,783311579-013621,1461135525-00013621,1280590703-013621,700259469-0000013621
Component 00000000027853,00003-00007-27853,00003-00005-00001-38533,1936229348-027853,1994376852-027853,2052524356-0027853,461415998-027853,170678478-00027853,432342246-027853,281247342-0000027853
Component 00000000098713,00003-00006-00004-98713,00001-00002-00011-45901,1355374937-098713,1547553145-098713,1739731353-0098713,2086083437-098713,1125192397-00098713,1989994333-098713,1433390997-0000098713
Component 00000000014371,00001-00006-14371,00003-00008-19820,808095926-014371,215126017-014371,1769639755-0014371,1040084574-014371,1857450472-00014371,262827705-014371,934644896-0000014371
Component 00000000098608,00003-00006-00003-98608,00005-00007-42985,1352503816-098608,80965499-098608,956910829-0098608,886179381-098608,801420025-00098608,448206716-098608,2114315798-0000098608
Component 00000000012503,00003-00001-00010-12503,00001-00007-102915,482755201-012503,1777337298-012503,924435748-0012503,2066702966-012503,2036243422-00012503,345670094-012503,1949776679-0000012503
Component 00000000118320,00006-00007-118320,00004-00003-66875,797245214-118320,1633189970-118320,321651079-0118320,538376587-118320,653620101-00118320,120404209-118320,322604555-0000118320
Component 00000000120119,00004-00006-00012-120119,00003-27573,2023597620-120119,1919434595-120119,1815271570-0120119,192916378-120119,713731503-00120119,1318739714-120119,1479393721-0000120119
Component 00000000105326,00001-00004-105326,00004-00006-00009-107519,1348221335-105326,858726113-105326,369230891-0105326,1230023185-105326,1530015648-00105326,1474770796-105326,1740988417-0000105326
Component 00000000076585,00005-00002-76585,00003-00005-00010-44028,1106038235-076585,625878671-076585,145719107-0076585,1440619498-076585,1693933671-00076585,1680699280-076585,1353893178-0000076585
Component 00000000066543,00003-00001-00009-66543,1436259974,328212763-066543,1353136992-066543,230577574-0066543,1718655812-066543,889001961-00066543,132451874-066543,2044802723-0000066543
Component 00000000080740,00002-00010-80740,00004-00005-00006-36874,48986289-080740,1784179963-080740,1371889990-0080740,454017245-080740,367983463-00080740,1733904055-080740,1663439112-0000080740
Component 00000000008379,00004-00007-8379,00001-00003-00005-111051,882380231-008379,1764640891-008379,499417904-0008379,722349301-008379,606013295-00008379,281218971-008379,1457121892-0000008379
Component 00000000067887,00002-00001-00001-67887,00004-00010-47590,759704633-067887,347628836-067887,2083036686-0067887,1175123125-067887,1088018463-00067887,307419200-067887,1278107394-0000067887
Component 00000000106283,00003-00002-00008-106283,00002-00007-10810,554115454-106283,1223571462-106283,1893027470-0106283,810477137-106283,1758164391-00106283,475749133-106283,1828385565-0000106283
